symbol,date,volume,close,open,high,low
NOV,1996-11-27,64322,5.116743087768555,5.071058023129908,5.116743087768555,5.048214910996922
NOV,1996-11-29,8428,5.162428855895996,5.162428855895996,5.162428855895996,5.139585740650158
NOV,1996-12-02,239100,5.116743087768555,5.162428152407202,5.162428152407202,5.048214910996922
NOV,1996-12-03,363752,5.322328090667725,5.116744656933368,5.322328090667725,5.116744656933368
NOV,1996-12-04,361534,5.208113670349121,5.322326921700283,5.322326921700283,5.208113670349121
NOV,1996-12-05,70976,5.253802299499512,5.253802299499512,5.299487785618312,5.1624321003473845
NOV,1996-12-06,63878,5.116743087768555,5.208113217045849,5.230955556093951,5.071058023129908
NOV,1996-12-09,114892,5.253802299499512,5.139588970745248,5.299487785618312,5.139588970745248
NOV,1996-12-10,46134,5.071060657501221,5.253801010987811,5.253801010987811,5.071060657501221
NOV,1996-12-11,91825,4.774105072021484,5.048215900102829,5.048215900102829,4.72841999843168
NOV,1996-12-12,72307,4.911160945892334,4.819790786562037,4.911160945892334,4.819790786562037
NOV,1996-12-13,170786,4.888317108154297,4.934002177495792,4.934002177495792,4.865474766754789
NOV,1996-12-16,135298,5.025374412536621,4.911161129294717,5.025374412536621,4.911161129294717
NOV,1996-12-17,94487,5.071060657501221,5.048217533501433,5.071060657501221,5.025375182586931
NOV,1996-12-18,238657,5.0482177734375,5.0939028639805075,5.0939028639805075,4.979690330894318
NOV,1996-12-19,287896,5.29948616027832,5.253800688171147,5.436541416971984,5.253800688171147
NOV,1996-12-20,113118,5.482224941253662,5.345169723591955,5.550753129898278,5.345169723591955
NOV,1996-12-23,399684,5.505068302154541,5.527910646176037,5.573596493846604,5.505068302154541
NOV,1996-12-24,9316,5.550755977630615,5.550755977630615,5.573599105440654,5.550755977630615
NOV,1996-12-26,75412,5.550755977630615,5.573599105440654,5.573599105440654,5.527913236363283
NOV,1996-12-27,118885,5.413698673248291,5.4593837522242135,5.505068831200136,5.413698673248291
NOV,1996-12-30,48796,5.436540126800537,5.390855052077727,5.436540126800537,5.390855052077727
NOV,1996-12-31,98923,5.61928129196167,5.390854770645171,5.61928129196167,5.390854770645171
NOV,1997-01-02,64766,5.596439838409424,5.573597875269049,5.619282961177664,5.52791201627519
NOV,1997-01-03,108682,5.482224941253662,5.596438202452181,5.596438202452181,5.482224941253662
NOV,1997-01-06,86946,5.505068302154541,5.505068302154541,5.527910646176037,5.505068302154541
NOV,1997-01-07,339798,5.527910232543945,5.4822247748343695,5.573596076796019,5.413697747897496
NOV,1997-01-08,227123,5.527910232543945,5.550752961398733,5.550752961398733,5.4822247748343695
NOV,1997-01-09,131306,5.824865341186523,5.550753717231441,5.870550805116978,5.550753717231441
NOV,1997-01-10,51014,6.076134204864502,5.7791801990880405,6.076134204864502,5.756338237408092
NOV,1997-01-13,34601,5.9847636222839355,6.053291435266478,6.076133781898945,5.9847636222839355
NOV,1997-01-14,254626,5.9847636222839355,6.0076063554589725,6.0076063554589725,5.8705511160364585
NOV,1997-01-15,343790,6.578672409057617,5.984764365129672,6.578672409057617,5.984764365129672
NOV,1997-01-16,604627,6.944150924682617,6.62435430216229,7.058364169815215,6.62435430216229
NOV,1997-01-17,106908,6.578672409057617,6.9441538659673805,6.9441538659673805,6.555830059589893
NOV,1997-01-20,58999,6.464460372924805,6.532987817101992,6.6015156478218495,6.464460372924805
NOV,1997-01-21,464893,6.373088359832764,6.487301263246966,6.487301263246966,6.121820204247083
NOV,1997-01-22,346008,6.258875846862793,6.327403279719948,6.35024601503407,6.190347640920426
NOV,1997-01-23,266160,6.076134204864502,6.281717658122991,6.281717658122991,6.076134204864502
NOV,1997-01-24,143283,5.87054967880249,6.144660477082004,6.144660477082004,5.87054967880249
NOV,1997-01-27,106908,5.756337642669678,5.916235996419959,5.984763420550015,5.756337642669678
NOV,1997-01-28,370850,5.8477067947387695,5.80202172431858,5.984762392541827,5.80202172431858
NOV,1997-01-29,613499,5.87054967880249,5.87054967880249,5.8933916333001966,5.710650972266363
NOV,1997-01-30,282573,5.824865341186523,5.893392763997107,5.961920959892789,5.802022609221296
NOV,1997-01-31,860140,5.8477067947387695,5.8477067947387695,5.8477067947387695,5.80202172431858
NOV,1997-02-03,600634,5.87054967880249,5.87054967880249,5.939076701923037,5.87054967880249
NOV,1997-02-04,518125,5.436540126800537,5.893392420198746,5.893392420198746,5.2994849026321065
NOV,1997-02-05,1271801,5.642125606536865,5.482226831120645,5.687810694839612,5.482226831120645
NOV,1997-02-06,133080,5.550755977630615,5.687811652149195,5.687811652149195,5.550755977630615
NOV,1997-02-07,154373,5.482224941253662,5.505068057344376,5.573596245988993,5.345169723591955
