ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600310.SH,20250512,4.46,4.51,4.4,4.42,4.44,-0.02,-0.4505,548261.0,243326.042
600310.SH,20250509,4.42,4.52,4.39,4.44,4.42,0.02,0.4525,797136.47,355090.94
600310.SH,20250508,4.35,4.49,4.33,4.42,4.39,0.03,0.6834,660213.87,291047.534
600310.SH,20250507,4.35,4.52,4.29,4.39,4.33,0.06,1.3857,928748.6,407430.788
600310.SH,20250506,4.26,4.37,4.18,4.33,4.26,0.07,1.6432,966340.25,413762.214
600310.SH,20250430,4.16,4.4,4.16,4.26,4.62,-0.36,-7.7922,1441202.34,615656.883
600310.SH,20250429,4.62,4.67,4.62,4.62,5.13,-0.51,-9.9415,353176.0,163192.948
600310.SH,20250428,5.36,5.46,5.09,5.13,5.34,-0.21,-3.9326,1575014.96,822706.344
600310.SH,20250425,5.07,5.55,4.98,5.34,5.07,0.27,5.3254,2474709.12,1287099.53
600310.SH,20250424,4.61,5.07,4.61,5.07,4.61,0.46,9.9783,2083886.06,1037932.908
600310.SH,20250423,4.66,4.71,4.59,4.61,4.65,-0.04,-0.8602,534991.6,248107.761
600310.SH,20250422,4.73,4.85,4.64,4.65,4.76,-0.11,-2.3109,768709.76,363773.431
600310.SH,20250421,4.74,4.87,4.7,4.76,4.8,-0.04,-0.8333,780313.87,372968.338
600310.SH,20250418,4.73,5.0,4.7,4.8,4.77,0.03,0.6289,1144336.28,553474.027
600310.SH,20250417,4.57,4.8,4.5,4.77,4.59,0.18,3.9216,838441.1,390760.555
600310.SH,20250416,4.66,4.75,4.56,4.59,4.64,-0.05,-1.0776,702476.25,326309.284
600310.SH,20250415,4.65,4.69,4.53,4.64,4.69,-0.05,-1.0661,733980.07,337707.847
600310.SH,20250414,4.41,4.72,4.41,4.69,4.49,0.2,4.4543,1057966.79,483336.69
600310.SH,20250411,4.19,4.66,4.17,4.49,4.24,0.25,5.8962,1080716.24,484837.419
600310.SH,20250410,4.21,4.31,4.18,4.24,4.18,0.06,1.4354,559720.28,237907.477
600310.SH,20250409,4.2,4.22,3.95,4.18,4.19,-0.01,-0.2387,631265.2,257716.715
600310.SH,20250408,4.03,4.3,4.03,4.19,4.03,0.16,3.9702,622740.75,260409.285
