ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600368.SH,20250512,4.54,4.55,4.47,4.5,4.53,-0.03,-0.6623,479428.61,215379.545
600368.SH,20250509,4.53,4.59,4.5,4.53,4.54,-0.01,-0.2203,459818.64,208730.377
600368.SH,20250508,4.52,4.57,4.48,4.54,4.59,-0.05,-1.0893,663914.98,300248.986
600368.SH,20250507,4.42,4.59,4.41,4.59,4.4,0.19,4.3182,1230581.5,556020.941
600368.SH,20250506,4.35,4.42,4.34,4.4,4.35,0.05,1.1494,475357.49,208182.348
600368.SH,20250430,4.4,4.42,4.34,4.35,4.4,-0.05,-1.1364,459936.17,201081.161
600368.SH,20250429,4.41,4.46,4.36,4.4,4.47,-0.07,-1.566,447850.79,197715.606
600368.SH,20250428,4.41,4.53,4.33,4.47,4.4,0.07,1.5909,789999.35,348674.88
600368.SH,20250425,4.4,4.44,4.4,4.4,4.41,-0.01,-0.2268,435500.72,192411.909
600368.SH,20250424,4.48,4.5,4.37,4.41,4.5,-0.09,-2.0,763651.74,337792.162
600368.SH,20250423,4.58,4.58,4.47,4.5,4.62,-0.12,-2.5974,966678.41,436415.701
600368.SH,20250422,4.52,4.68,4.52,4.62,4.51,0.11,2.439,1185463.63,548118.833
600368.SH,20250421,4.48,4.54,4.47,4.51,4.52,-0.01,-0.2212,649478.08,292757.756
600368.SH,20250418,4.59,4.6,4.46,4.52,4.6,-0.08,-1.7391,984880.15,445001.201
600368.SH,20250417,4.64,4.69,4.56,4.6,4.73,-0.13,-2.7484,1158169.6,533389.526
600368.SH,20250416,4.81,4.97,4.55,4.73,5.01,-0.28,-5.5888,1959080.98,925648.468
600368.SH,20250415,5.5,5.52,5.01,5.01,5.57,-0.56,-10.0539,1776379.98,915830.056
600368.SH,20250414,5.56,5.84,5.46,5.57,5.74,-0.17,-2.9617,2244439.07,1265835.269
600368.SH,20250411,5.41,5.87,5.25,5.74,5.34,0.4,7.4906,2751598.48,1565496.145
600368.SH,20250410,5.3,5.78,5.21,5.34,5.44,-0.1,-1.8382,2118238.86,1167173.203
600368.SH,20250409,5.0,5.59,4.66,5.44,5.18,0.26,5.0193,2024646.19,1031864.346
600368.SH,20250408,4.83,5.35,4.83,5.18,4.86,0.32,6.5844,2180745.97,1122406.81
600368.SH,20250407,5.0,5.33,4.71,4.86,5.08,-0.22,-4.3307,2020901.28,1019018.632
600368.SH,20250403,4.57,5.08,4.57,5.08,4.62,0.46,9.9567,1249949.57,612660.642
600368.SH,20250402,4.45,4.68,4.39,4.62,4.45,0.17,3.8202,664578.76,301883.768
600368.SH,20250401,4.4,4.47,4.37,4.45,4.42,0.03,0.6787,309310.98,137069.88
600368.SH,20250331,4.36,4.46,4.31,4.42,4.39,0.03,0.6834,374842.5,164631.403
600368.SH,20250328,4.6,4.61,4.37,4.39,4.57,-0.18,-3.9387,437832.91,194809.806
