Stock Code,Stock Name,Current Price,Market Value,Turnover,Net Profit
SH.603439,贵州三力,12.06,4942214724.96
SH.601609,金田股份,6.67,9908272513.76
SH.603221,爱丽家居,10.97,2683042600.0
SZ.300823,建科智能,14.12,1849476105.24
SZ.300821,东岳硅材,7.62,9144000000.0
SZ.002973,侨银股份,12.92,5279959073.96
SZ.002972,科安达,11.77,2895523576.0
SH.601512,中新集团,7.37,11046819300.0
SZ.001914,招商积余,11.64,12342428138.4
SZ.002969,嘉美包装,3.32,3172098282.8
SH.688389,普门科技,13.06,5596023633.8
SZ.300797,钢研纳克,14.8,5669880000.0
SH.603610,麒盛科技,14.09,5051113546.59
SH.603815,交建股份,8.15,5044232515.25
SZ.002962,五方光电,14.58,4252480832.16
SH.603093,南华期货,12.7,7747836841.1
SZ.300787,海能实业,14.2,3742606769.4
SZ.002960,青鸟消防,11.39,8386460314.49
SH.603687,大胜达,7.16,3938228146.24
SH.603327,福蓉科技,11.82,9078686463.42
SZ.002953,日丰股份,10.9,4980088454.1
SH.603697,有友食品,11.62,4969782178.76
SZ.300772,运达股份,11.11,8742784578.55
SH.603317,天味食品,11.52,12268757306.88
SH.603967,中创物流,11.68,4049067172.8
SZ.002950,奥美医疗,8.42,5332094726.94
SZ.002958,青农商行,3.31,18389098082.36
SH.603681,永冠新材,12.81,2448388174.05
SZ.002949,华阳国际,14.25,2793608318.25
SH.600928,西安银行,3.64,16177777779.8
SH.601975,招商南油,2.73,13109067284.04
SH.603700,宁水集团,11.96,2412322240.64
SH.603739,蔚蓝生物,12.97,3281784392.02
SH.601860,紫金银行,2.78,10177536946.14
SH.603187,海容冷链,11.43,4416736103.01
SZ.002941,新疆交建,11.5,7424181316.0
SZ.300694,蠡湖股份,13.83,2977833791.91
SZ.002940,昂利康,13.53,2729382356.58
SZ.002935,天奥电子,14.9,6355184758.3
SH.601068,中铝国际,4.47,13346688113.49
SH.603105,芯能科技,8.36,4180053846.76
SH.603693,江苏新能,12.15,10831431942.0
SH.601330,绿色动力,7.15,9963188499.55
SH.603876,鼎胜新材,8.76,8155186937.88
SZ.002930,宏川智慧,9.32,4263802941.52
SH.600929,雪天盐业,5.09,8351222298.5
SZ.002928,华夏航空,7.78,9944719259.0
SH.603871,嘉友国际,14.59,14256604522.78
SZ.300740,水羊股份,13.42,5211503018.92
SH.603056,德邦股份,13.17,13430968659.96
SZ.300664,鹏鹞环保,5.12,3890239139.84
SH.603161,科华控股,12.07,2336486315.16
SH.603890,春秋电子,12.38,5435632833.66
SZ.300729,乐歌股份,14.98,5112812579.98
SH.603848,好太太,14.99,6054633549.89
SH.603711,香飘飘,13.12,5414420640.0
SZ.002911,佛燃能源,10.17,13195587824.37
SH.603970,中农立华,13.55,3642241815.7
SH.603916,苏博特,8.82,3815656529.58
SH.600903,贵州燃气,6.9,7935057187.2
SH.603856,东宏股份,11.6,3271850296.0
SH.603289,泰瑞机器,9.27,2719505100.42
SZ.002907,华森制药,14.33,5984155179.62
SH.603683,晶华新材,13.7,3596240259.3
SZ.300708,聚灿光电,11.58,7876164166.68
SH.603136,天目湖,11.62,3138872370.2
SH.603367,辰欣药业,13.42,6075960411.18
SH.601086,国芳集团,11.28,7512480000.0
SH.603363,*ST傲农,3.96,10307728830.96
SZ.002900,哈三联,11.3,3574840315.0
SH.603055,台华新材,9.95,8858411698.35
SH.603648,畅联股份,10.28,3725603584.0
SH.603527,众源新材,10.03,3179221136.0
SH.603500,祥和实业,9.21,3083364683.19
SZ.002893,京能热力,10.68,2815675200.0
SZ.300692,中环环保,6.24,2648927723.52
SH.603181,皇马科技,12.64,7441168000.0
SH.601949,中国出版,6.45,12280593948.3
SH.603535,嘉诚国际,9.23,4715726288.52
SH.603357,设计总院,8.51,4772270180.55
SH.601326,秦港股份,3.24,18103214880.0
SH.603676,卫信康,10.13,4408185995.0
SH.601619,嘉泽新能,3.84,9347951258.88
SH.603707,健友股份,10.72,17319606867.68
SH.603730,岱美股份,8.09,13370799680.5
SH.603305,旭升集团,13.74,13098512128.68
SH.603801,志邦家居,11.05,4823388128.65
SH.603617,君禾股份,7.23,2823107766.51
SH.603938,三孚股份,14.6,5586317656.2
SH.603980,吉华集团,4.63,3133738456.8
SH.603587,地素时尚,12.14,5787906243.48
SH.603326,我乐家居,8.52,2750585553.6
SH.603680,今创集团,9.74,7633420790.58
SZ.002871,伟隆股份,10.64,2333659432.16
SH.603758,秦安股份,12.98,5695585696.02
SH.603269,海鸥股份,11.97,2639827614.69
SH.601952,苏垦农发,9.78,13476840000.0
SH.603229,奥翔药业,7.98,6625771217.1
SZ.002867,周大生,12.96,14203204394.4
SZ.300514,友讯达,13.49,2698000000.0
SH.601200,上海环境,7.92,10662143587.92
SH.603081,大丰实业,11.37,4963294571.16
SZ.002863,今飞凯达,5.1,3057366125.4
SH.603926,铁流股份,11.76,2764805764.56
SH.603225,新凤鸣,10.94,16680923006.42
SZ.002860,星帅尔,13.95,5064456518.1
SZ.300636,同和药业,7.32,3085580202.0
SH.603538,美诺华,13.88,3034293961.0
SH.603811,诚意药业,8.9,2913008448.0
SZ.002852,道道全,9.72,3343371924.6
SH.603768,常青股份,11.98,2850711166.86
SH.603817,海峡环保,5.75,3277983224.25
SZ.300610,晨化股份,11.34,2438190493.2
SZ.300601,康泰生物,14.04,15681667533.48
SH.603637,镇海股份,10.26,2448917098.02
SH.603089,正裕工业,11.26,2519298392.56
SH.603966,法兰泰克,10.64,3831543502.08
SZ.300592,华凯易佰,11.76,4760987419.44
SZ.300590,移为通信,12.74,5858880270.88
SH.603165,荣晟环保,12.08,3293164170.24
SH.603223,恒通股份,8.68,6199143559.28
SH.601368,绿城水务,5.21,4600289731.17
SH.603066,音飞储存,11.38,3347769242.12
SH.601968,宝钢包装,4.85,6187530381.0
SH.603566,普莱柯,13.57,4696065044.61
SH.603311,金海高科,10.63,2507445931.41
SH.603718,海利生物,6.93,4543739046.0
SH.603227,雪峰科技,9.75,10449003717.75
SH.603599,广信股份,10.93,9949243940.85
SH.600959,江苏有线,3.29,16452361186.94
SH.603567,珍宝岛,11.17,10512540602.53
SH.603318,水发燃气,6.55,3006914552.2
SH.603315,福鞍股份,13.6,4357797190.4
SH.603025,大豪科技,13.59,15073685165.07
SH.603020,爱普股份,8.23,3154046880.02
SH.603158,腾龙股份,8.62,4230690017.72
SH.603012,创力集团,5.7,3707690400.0
SH.603519,立霸股份,13.15,3502211082.85
SH.603015,弘讯科技,12.95,5234636050.0
SH.603309,维力医疗,11.96,3502701495.28
SH.603969,银龙股份,6.59,5632894760.0
SH.603898,好莱客,10.61,3302728895.13
SH.603618,杭电股份,6.44,4452458967.04
SH.603558,健盛集团,8.9,3143330026.1
SH.603686,福龙马,13.41,5570921717.64
SH.603600,永艺股份,11.12,3683090450.4
SH.603601,再升科技,3.59,3667729193.74
SH.603889,新澳股份,6.12,4470604571.16
SH.603588,高能环境,5.59,8514880614.63
SH.601226,华电科工,6.29,7332393267.0
SH.601969,海南矿业,7.12,14231400734.56
SH.603998,方盛制药,9.57,4202044024.2
SH.603518,锦泓集团,8.21,2846291928.64
SH.603088,XD宁波精,10.02,4387475836.8
SH.603018,华设集团,7.66,5237856923.12
SH.603456,九洲药业,13.91,12452730367.48
SH.603169,兰石重装,7.35,9601244715.3
SH.601016,节能风电,2.94,19031764189.2
SZ.300396,迪瑞医疗,13.41,3656909159.01
SH.603609,禾丰股份,8.5,7756061886.5
SZ.300389,艾比森,10.8,3986283423.6
SH.603111,康尼机电,6.71,5824737776.33
SZ.300387,富邦科技,8.48,2451203512.64
SZ.002727,一心堂,14.01,8204313791.25
SH.603328,依顿电子,9.17,9155718742.87
SZ.002722,物产金轮,14.92,3082303806.84
SZ.002716,湖南白银,3.55,10021964693.3
SZ.300376,ST易事特,3.53,8218688880.28
SZ.300375,鹏翎股份,4.95,3739125149.1
SZ.002707,众信旅游,7.69,7557078603.77
SZ.002706,良信股份,8.79,9872268925.8
SZ.002705,新宝股份,14.83,12040117817.4
SZ.002703,浙江世宝,12.22,10052567732.48
SZ.002701,奥瑞金,5.51,14104280184.19
SH.603167,渤海轮渡,8.87,4161311741.61
SZ.002697,红旗连锁,5.69,7738400000.0
SZ.300349,金卡智能,12.29,5141364347.77
SZ.002692,远程股份,5.03,3612274380.0
SH.601038,一拖股份,13.38,15034373779.5
SZ.300337,银邦股份,10.93,8983585600.0
SZ.002688,金河生物,6.18,4769071379.64
SZ.002687,乔治白,4.44,2241220940.04
SZ.300335,迪森股份,5.24,2499544913.12
SZ.300332,天壕能源,4.64,4014134899.2
SZ.002685,华东重机,7.65,7708833403.65
SH.601339,百隆东方,5.06,7587819140.0
SZ.002681,奋达科技,7.55,13630814363.8
SZ.300320,海达股份,10.58,6361057740.78
SH.603128,华贸物流,6.44,8430259421.36
SZ.002676,顺威股份,6.05,4356000000.0
SZ.002675,东诚药业,13.99,11536093912.95
SZ.300319,麦捷科技,10.8,9494235309.6
SH.603366,日出东方,10.32,8390656402.32
SH.603002,宏昌电子,5.81,6588996137.29
